nama_alat,kategori,deskripsi,kebutuhan_konten,harga_sewa,stok,rating_alat,gambar
Sony ZV-1,Kamera,Kamera compact untuk vlog dan travel,vlog travel daily lowlight outdoor,250,5,4.5,https://cdn.dxomark.com/wp-content/uploads/medias/post-44019/sony-zv1.jpg
Sony ZV-E10,Kamera,Kamera mirrorless ringan untuk konten kreator,vlog travel indoor outdoor lowlight,350,4,4.6,https://cdn.mos.cms.futurecdn.net/Fg2bQVWwtIg9Y9ycYzaPtT.jpg
Canon EOS R6,Kamera,Mirrorless full-frame untuk cinematic dan lowlight,wedding cinematic lowlight indoor outdoor,700,3,4.7,https://cdn.dxomark.com/wp-content/uploads/medias/post-67133/Canon-EOS-R6.jpg
Canon EOS R5,Kamera,Kamera profesional untuk produksi video dan foto,cinematic profesional indoor outdoor wedding,900,2,4.9,https://cdn.dxomark.com/wp-content/uploads/medias/post-67127/Canon-EOS-R5.jpg
Fujifilm X-S10,Kamera,Mirrorless ringan dengan IBIS untuk travel dan konten,vlog travel stabilization indoor outdoor,350,6,4.6,https://cdn.dxomark.com/wp-content/uploads/medias/post-86970/Fujifilm-X-S10.jpg
Fujifilm X-T4,Kamera,Kamera flagship dengan stabilisasi kuat untuk video,cinematic travel indoor outdoor ibis,500,4,4.7,https://cdn.dxomark.com/wp-content/uploads/medias/post-70606/Fujifilm-X-T4.jpg
Sony A7S III,Kamera,Low-light king untuk filmmaker,cinematic lowlight profesional indoor outdoor,900,3,5.0,https://cdn.dxomark.com/wp-content/uploads/medias/post-70622/Sony-A7S-III.jpg
Sony A6400,Kamera,Mirrorless APS-C cepat untuk action dan travel,travel vlog outdoor action daily,350,5,4.5,https://cdn.dxomark.com/wp-content/uploads/medias/post-70607/Sony-A6400.jpg
Canon M50 Mark II,Kamera,Kamera vlog pemula dengan autofocus kuat,vlog pemula indoor outdoor daily,250,6,4.4,https://m.media-amazon.com/images/I/61Fcj0P-BgL.jpg
Panasonic GH5,Kamera,Kamera video stabil untuk profesional,cinematic stabilization indoor outdoor action,500,3,4.6,https://cdn.dxomark.com/wp-content/uploads/medias/post-35106/panasonic-lumix-gh5.jpg
Panasonic GH6,Kamera,Kamera generasi baru untuk filmmaker,cinematic action stabilization profesional,650,2,4.8,https://www.adorama.com/images/product/LXHG6.jpg
DJI Osmo Action 4,Kamera,Action cam lowlight terbaik untuk outdoor,action travel outdoor waterproof lowlight,180,10,4.7,https://cdn.shopify.com/s/files/1/0057/8938/4802/products/osmoaction4.png
GoPro Hero 12 Black,Kamera,Action cam terbaru untuk sport,action sport outdoor waterproof,150,12,4.6,https://m.media-amazon.com/images/I/71ZJfN2ZcGL.jpg
Blackmagic Pocket Cinema 6K,Kamera,Kamera cinema untuk film independen,cinematic profesional indoor controlled,850,2,4.7,https://m.media-amazon.com/images/I/81ZgQ9xvYCL.jpg
Sony FX3,Kamera,Kamera cinema compact untuk filmmaker,cinematic profesional lowlight indoor outdoor,1000,2,4.9,https://m.media-amazon.com/images/I/81muldD43rL.jpg

Sony 16-35mm f2.8 GM,Lensa,Lensa wide premium untuk cinematic,cinematic travel vlog outdoor indoor,300,3,4.9,https://m.media-amazon.com/images/I/71A-jsFflPL.jpg
Sony 24-70mm f2.8 GM II,Lensa,Lensa serbaguna untuk segala kebutuhan,wedding cinematic outdoor indoor profesional,280,3,4.9,https://m.media-amazon.com/images/I/71aII5MlfuL.jpg
Canon RF 50mm f1.8,Lensa,Lensa prime murah untuk portrait dan interview,interview portrait indoor lowlight,80,5,4.7,https://m.media-amazon.com/images/I/61bZ0eK6CPL.jpg
Fujifilm 23mm f2 WR,Lensa,Lensa prime cepat untuk street dan vlog,vlog street travel indoor outdoor,100,6,4.7,https://m.media-amazon.com/images/I/613mpyB3CYL.jpg
Sigma 18-35mm f1.8,Lensa,Lensa APS-C populer untuk video,cinematic lowlight indoor outdoor,150,4,4.8,https://m.media-amazon.com/images/I/71pBnxaS4DL.jpg

Rode Wireless GO II,Audio,Mic wireless ringkas untuk interview & vlog,interview podcast vlog indoor outdoor,120,10,4.8,https://m.media-amazon.com/images/I/61fz+BLSXhL.jpg
DJI Mic,Audio,Mic wireless premium untuk konten profesional,vlog interview outdoor indoor profesional,150,8,4.9,https://m.media-amazon.com/images/I/61v3YCxXcdL.jpg
Boya BY-M1,Audio,Mic lavalier murah untuk pemula,podcast interview indoor,20,20,4.3,https://m.media-amazon.com/images/I/71wYWGsN1hL.jpg
Rode VideoMicro,Audio,Mic shotgun mini untuk vlog,vlog outdoor travel daily,40,12,4.6,https://m.media-amazon.com/images/I/713fq6Q31XL.jpg
Rode NT-USB Mini,Audio,Mic USB untuk podcast,podcast indoor voiceover,60,7,4.5,https://m.media-amazon.com/images/I/61dxxEe7d6L.jpg
Shure SM7B,Audio,Mic profesional untuk podcast,podcast indoor profesional,150,5,4.9,https://m.media-amazon.com/images/I/61kBhi6EfQL.jpg
Sennheiser MKE 600,Audio,Mic shotgun premium untuk film,cinematic interview indoor outdoor,200,5,4.8,https://m.media-amazon.com/images/I/61JKdkMNAQL.jpg

Godox SL60W,Pencahayaan,Lampu continuous untuk studio,podcast studio indoor lighting,80,7,4.4,https://m.media-amazon.com/images/I/61F8xAawQlL.jpg
Godox M1 RGB,Pencahayaan,Lampu RGB portable untuk kreator,rgb creative travel indoor outdoor,50,8,4.6,https://m.media-amazon.com/images/I/71eqD5h9F7L.jpg
Aputure Amaran 100D,Pencahayaan,Lampu kuat untuk produksi,cinematic studio indoor,120,4,4.7,https://m.media-amazon.com/images/I/61jMZov49ML.jpg
Aputure MC RGB,Pencahayaan,Lampu RGB mini serbaguna,rgb creative indoor outdoor,40,10,4.7,https://m.media-amazon.com/images/I/71b7dhAOUFL.jpg
Nanlite PavoTube 15C,Pencahayaan,Tube light untuk efek kreatif,creative effect indoor interview,90,5,4.8,https://m.media-amazon.com/images/I/41x5FND9NjL.jpg

DJI RS3 Mini,Stabilisasi,Gimbal ringan untuk travel,cinematic travel stabilization,150,4,4.6,https://m.media-amazon.com/images/I/61p2tYAlJIL.jpg
DJI RS2,Stabilisasi,Gimbal profesional untuk filmmaker,cinematic stabilization profesional,200,3,4.8,https://m.media-amazon.com/images/I/71QF0zEw1xL.jpg
Manfrotto Befree Tripod,Aksesoris,Tripod ringkas untuk travel,travel outdoor stabilization,40,10,4.5,https://m.media-amazon.com/images/I/81g3n0Pp9tL.jpg
Joby GorillaPod 3K,Aksesoris,Tripod fleksibel untuk vlog,vlog travel outdoor indoor,30,12,4.4,https://m.media-amazon.com/images/I/71EIK8P1ssL.jpg
SmallRig Cage Universal,Aksesoris,Cage kamera untuk setup profesional,cinematic rig profesional,50,7,4.6,https://m.media-amazon.com/images/I/81gTviY-szL.jpg

DJI Mavic Air 2,Drone,Drone travel ringan,aerial outdoor travel cinematic,250,3,4.7,https://m.media-amazon.com/images/I/81k6gJz-1XL.jpg
DJI Mini 3 Pro,Drone,Drone mini untuk travelling,vlog travel aerial,200,5,4.8,https://m.media-amazon.com/images/I/71PEmQyQ1PL.jpg
DJI Mavic 3,Drone,Drone profesional untuk produksi film,aerial cinematic profesional,600,2,4.9,https://m.media-amazon.com/images/I/71vYvR6iZOL.jpg
